City,Library,Address,Zip,Phone,State
Uniondale,Nassau Library System,900 Jerusalem Ave.,11553,(516) 292-8920,New York
Uniondale,Uniondale Public Library,400 Uniondale Avenue,11553,(516) 489-2220,New York
Upper Jay,Wells Memorial Library,12230 Nys Rte 9n,12987,(518) 946-2644,New York
Upton,Brookhaven National Laboratory,P.O. Box 5000,11973,(631) 344-8000,New York
Utica,Mid-York Library System,1600 Lincoln Ave,13502,(315) 735-8328,New York
Utica,Utica Public Library,303 Genesee Street,13501,(315) 735-2279,New York
Valatie,Valatie Free Library,3203 Church Street,12184,(518) 758-9321,New York
Valley Cottage,Valley Cottage Free Library,110 Route 303,10989,(845) 268-7700,New York
Valley Falls,Valley Falls Free Library,42 State Street,12185,(518) 753-4230,New York
Valley Stream,Henry Waldinger Memorial Library,60 Verona Place,11582,(516) 825-6422,New York
Van Etten,Van Etten Library,83 Main St,14889,(607) 589-4755,New York
Vernon,Vernon Public Library,4441 Peterboro Street,13476,(315) 829-2463,New York
Vestal,Four County Library System,304 Clubhouse Road,13850,(607) 723-8236,New York
Vestal,Vestal Public Library,320 Vestal Parkway East,13850,(607) 754-4243,New York
Victor,Victor Free Library,15 West Main Street,14564,(585) 924-2637,New York
Voorheesville,Voorheesville Public Library,51 School Road,12186,(518) 765-2791,New York
Waddington,Hepburn Library Of Waddington,30 Main Street,13694,(315) 388-4454,New York
Wadhams,Wadhams Free Library,763 Nys Route 22,12993,(518) 962-8717,New York
Walden,Josephine-Louise Public Library,5 Scofield Street,12586,(845) 778-7621,New York
Wallkill,Wallkill Public Library,7 Bona Venture,12589,(845) 895-3707,New York
Walton,William B. Ogden Free Library,42 Gardiner Place,13856,(607) 865-5929,New York
Walworth,Walworth-Seely Public Library,3600 Lorraine Drive,14568,(315) 986-1511,New York
Wantagh,Wantagh Public Library,3285 Park Avenue,11793,(516) 221-1200,New York
Wappingers Falls,Grinnell Library,2642 East Main Street,12590,(845) 297-3428,New York
Warrensburg,Richards Library,36 Elm Street,12885,(518) 623-3011,New York
Warsaw,Warsaw Public Library,130 North Main Street,14569,(585) 786-5606,New York
Warwick,Albert Wisner Public Library,2 Colonial Avenue,10990,(845) 986-1047,New York
Washingtonville,Moffat Library Of Washingtonville,6 West Main Street,10992,(845) 496-5483,New York
Waterford,Waterford Public Library,117 Third Street,12188,(518) 237-0891,New York
Waterloo,Waterloo Library And Historical Society,31 East Williams Street,13165,(315) 539-3313,New York
Watertown,East Hounsfield Free Library,19438 Nys Route 3,13601,(315) 788-0637,New York
Watertown,Roswell P. Flower Memorial Library,229 Washington Street,13601,(315) 785-7705,New York
Waterville,Waterville Public Library,206 White Street,13480,(315) 841-4651,New York
Watervliet,Watervliet Public Library,1501 Broadway,12189,(518) 274-4471,New York
Watkins Glen,Watkins Glen Cen Sch Dis Free Pub Lib,610 South Decatur Street,14891,(607) 535-2346,New York
Waverly,Waverly Free Library,18 Elizabeth Street,14892,(607) 565-9341,New York
Wayland,Wayland Free Library,101 West Naples Street,14572,(585) 728-5380,New York
Webster,Webster Public Library,,14580,(585) 872-7075,New York
Weedsport,Weedsport Free Library,2795 East Brutus Street,13166,(315) 834-6222,New York
Wellsville,David A Howe Public Library,155 North Main Street,14895,(585) 593-3410,New York
West Babylon,West Babylon Public Library,211 Route 109,11704,(631) 669-5445,New York
West Chazy,Dodge Library,9 Fiske Road,12992,(518) 493-6131,New York
West Hempstead,West Hempstead Public Library,500 Hempstead Avenue,11552,(516) 481-6591,New York
West Hurley,West Hurley Public Library,42 Clover Street,12491,(845) 679-6405,New York
West Islip,West Islip Public Library,3 Higbie Lane,11795,(631) 661-7080,New York
West Nyack,West Nyack Free Library,65 Strawtown Road,10994,(845) 358-6081,New York
West Seneca,West Seneca Public Library,1300 Union Road,14224,(716) 674-2928,New York
West Shokan,Olive Free Library Association,4033 Route 28a,12494,(845) 657-2482,New York
West Winfield,West Winfield Library,179 South Street,13491,(315) 822-6394,New York
Westbury,Westbury Memorial Public Library,445 Jefferson Street,11590,(516) 333-0176,New York
Westerlo,Town Of Westerlo Public Library,604 State Route 143,12193,(518) 797-3415,New York
Westernville,Western Town Library,9172 Main Street,13486,(315) 827-4118,New York
Westfield,Patterson Library,40 South Portage Street,14787,(716) 326-2154,New York
Westhampton Beach,Westhampton Free Library,28 Library Avenue,11978,(631) 288-3335,New York
Westport,Westport Library Association,6 Harris Lane,12993,(518) 962-8219,New York
White Plains,White Plains Public Library,100 Martine Avenue,10601,(914) 422-1400,New York
Whitehall,Whitehall Free Library,12 Williams Street,12887,(518) 499-1366,New York
Whitesboro,Dunham Public Library,76 Main Street,13492,(315) 736-9734,New York
Whitestone,Queens Borough Public Library - Whitestone,151-10 14 Road,11357,(718) 767-8010,New York
Whitesville,Whitesville Public Library,500 Main Street,14897,(607) 356-3645,New York
Whitney Point,Mary Wilcox Memorial Library,2630 Main Street,13862,(607) 692-3159,New York
Williamson,Williamson Free Public Library,"6380 Route 21, Suite 1",14589,(315) 589-2048,New York
Williamstown,Williamstown Library,2877 County Route 17n,13493,(315) 964-2802,New York
Williamsville,Amherst Public Library Clearfield Branch,770 Hopkins Road,14221,(716) 688-4955,New York
Williamsville,Amherst Public Library Williamsville Branch,5571 Main Street,14221,(716) 632-6176,New York
Williston Park,Williston Park Public Library,494 Willis Avenue,11596,(516) 742-1820,New York
Willsboro,Paine Memorial Free Library,2 Gilliland Lane,12996,(518) 963-4478,New York
Wilmington,Wilmington E.M. Cooper Memorial Public Library,5751 Route 86,12997,(518) 946-7701,New York
Wilson,Wilson Free Library,265 Young Street,14172,(716) 751-6070,New York
Windham,Windham Public Library,5379 Main Street,12496,(518) 734-4405,New York
Wingdale,Dover Plains Library,1797 Route 22,12594,(845) 832-6605,New York
Wolcott,Wolcott Civic Free Library,5890 New Hartford Street,14590,(315) 594-2265,New York
Woodgate,Woodgate Free Library,11051 Woodgate Road,13494,(315) 392-4814,New York
Woodhaven,Queens Borough Public Library - Woodhaven,85-41 Forest Parkway,11421,(718) 849-1010,New York
Woodside,Queens Borough Public Library - Woodside,54-22 Skillman Avenue,11377,(718) 429-4700,New York
Woodstock,Woodstock Public Library District,5 Library Lane,12498,(845) 679-2213,New York
Worcester,Worcester Free Library,168 Main Street Suite 2,12197,(607) 397-7309,New York
Wurtsboro,Mamakating Library,156-158 Sullivan Street,12790,(845) 888-8004,New York
Wurtsboro,Town Of Mamakating Library District,156-158 Sullivan Street,12790,(845) 888-8004,New York
Wyandanch,Wyandanch Public Library,14 South 20th Street,11798,(631) 643-4848,New York
Wynantskill,North Greenbush Public Library,141 Main Avenue,12198,(518) 283-0303,New York
Wyoming,Wyoming Free Circulating Library Association,114 South Academy Street,14591,(585) 495-6840,New York
Yonkers,Yonkers Public Library,,10701,(914) 337-1500,New York
Youngstown,Youngstown Free Library,240 Lockport Street,14174,(716) 745-3555,New York
